Adaptador audio ps4 economico,170, "https://drive.google.com/file/d/1WVwhuB1K3J-AEE3xkrULahjS_ZeoXqJg/view?usp=sharing",
adaptador auricular tipo C,260,
adaptador de dbi a hdmi,650,
adaptador display port  a hdmi,1250,
adaptador Hdmi a Vga,1080,
adaptador hdmi a vga caja azul,0,
adaptador mini display port-vga ,1000,
Adaptador minidisplay port- hdmi,1000,
adaptador tipo C a hdmi,1920,
alarge usb 5 metros,600,
alargue usb 3metros,450,
Antena Wifi usb,1200,
aricular vincha EXTRA BASS,1100,
aro de luz 31cm,2400,
Aro luz 26cm con tripode de mesa,0,
auricular bluetooth MOTOROLA,1100,
auricular Bt colores,2150,
auricular CAJA ACRILICO,360,
auricular gamer noga st-703,1500,
auricular gamer noga st-880,1800,
Auricular gamer strome 8620,1800,
auricular p47 bluetooth,2200,
Auricular SAMSUMG DIAMONT,480,
auricular time cable/ samsung caja blanca,350,
auricular vincha bt gatito,2650,
auxiliar ,180,
auxiliar con manos libres,360,
balanza cocina 10k,1500,
base notebook 668,3000,
base para ps4 ,1750,
bluetooth con cable auto,750,
bluetooth usb para pc,750,
cabezal tipo C time 18w,780,
cabina luz uv panda,1800,
cabina luz uv uñas mini,672,
cable  red 5 mts,450,
cable audio / 2 a 1 / 3 a 3 bueno 1.8 mts,0,
cable audio / 2 a 1 / 3 a 3 eco,300,
cable audio video 3mts 2a1 / 2a2 / 3a3,380,
cable auxiliar goma colores 1.5,280,
cable carga iphone ,520,
cable de red 10mts ,540,
"Cable Hdmi 1,5 mts malllado",550,
cable hdmi 10 metros,2100,
cable hdmi 20mts,2700,
cable hdmi 3 mts mallado,0,
Cable hdmi 5 metros,1100,
"Cable Hdmi con adaptadores 1,5 mts",1100,
cable impresora,420,
cable iphone,480,
cable magnetico  C/v8,440,
cable power o trebol,660,
cable tipo C a C samsunh,420,
cable tipo C fast/ LEGATUS,340,
cable V3 ps3 ,380,
cable v8 cordon colores,200,
cable v8 POWER 2.4,320,
cable v8-reforzado caja blanca ,300,
cable vga 1.5 mts,384,
calculadora cientifica,960,
calculadora karuida dm-1200v,1440,
capturadora hdmi a usb,2600,
Cargador 2.1A v8 time bolsita,440,
cargador auto TIME 2USB / IBEK,550,
Cargador cabezal time usb + tipo c,560,
cargador de auto mas cable pulpo,420,
Cargador kosmo tipo C,680,
Cargador notebook universal,2100,
Cargador time 3.1 v8,620,
Cargador universal bateria kosmo comun,520,
carry disk externo noga  usb 2.0,1600,
carry disk externo noga  usb 3.0,1900,
"carry disk interno 2,5 lectora de cd",1400,
control remoto  aire acondicionado,900,
control samsung,540,
control tv universal ,600,
controlador led rgb 24 teclas,540,
Conversor de hdmi a rca ,1450,
conversor rca a hdmi,1900,
convertidor de adio optico a rca,1860,
convertidor de hdmi a vga,1450,
convertidor VGA a HDMI,1500,
cortadora de pelo ,1900,
fuente 12v 10 amp,2100,
holder auto 102-m01,780,
holder para bici,900,
holder souno ,780,
hub 7x1,960,
joystich 3 EN 1,2200,
Joystick ps3 ,2750,
joystick ps3 sony,0,
Joystick ps4 joyxpc4,6000,
Joystick ps4 sony ,0,
Joystick usb dinax,0,
kit Teclado y mouse dinax,1400,
kit teclado y mouse inalambrico gtc,2500,
kit teclado y mouse usb con iluminacion rmt-13,2220,
Lampar emergencia 1+27 linterna,1800,
LECTOR MICRO SD,200,
lentes de realidad virtual ,2250,
luz bicicleta,456,
microfono condensador seisa,1900,
mouse gamer usb rgb,550,
mouse inalambrico gtc,750,
mouse usb,300,
Msd 32gb kingston c/10,1600,
Msd 64 gb ,2400,
otg tipoc c / v8,216,
pantalla expansora k9,3600,
"parlante bt hytoshi 6,5"" con microfono","5663,52",
parlante pc 2.1 n63,2600,
Parlante pc 2.1 s-096,5600,
parlante pc yst-1022,1100,
Pendrive Kingston 3.0 64gb,2400,
pilas AA x4 o AAA x4 ,2160,135
placa de sonido usb,564,
repetidor wifi lv-wr25,3500,
soporte celu /,240,
soporte celu ring,120,
soporte para celu Auto 2123f,900,
Soporte Tv fijo 14 a 42,1100,
soporte tv fijo con inclinacion,2600,
Soporte Tv Movil 14 a 55,1600,
soporte Tv movil 26 a 55,2900,
soporte Tv movil 26 a 55 reforzado doble brazon,0,
ssd 120gb,4300,
ssd 240gb,6250,
Teclado  usb,950,
Teclado air mouse ir remote kp27r,2100,
teclado y touchpad seisa dn-d032,4600,
timbre inalambrico,1740,
tira led 5050 blanco frio interior,1500,
tira led blancco ,1500,
Tira led rgb 5050 kit,2800,
tripode 2mt negro,1680,
tripode aluminio plegable 1mts,1800,
tripode selfie 26cm,420,